Thu Apr 16 22:42:22 2026 | GET http://localhost:8001/process-email
Thu Apr 16 22:42:29 2026 | GET http://localhost:8001/scheduled-emails
Thu Apr 16 22:43:21 2026 | GET http://localhost:8001/process-email
Thu Apr 16 22:43:23 2026 | GET http://localhost:8001/process-email
Thu Apr 16 22:43:23 2026 | GET http://localhost:8001/process-email
Thu Apr 16 22:43:24 2026 | GET http://localhost:8001/drafts
Thu Apr 16 22:43:24 2026 | GET http://localhost:8001/scheduled-emails
Thu Apr 16 22:43:25 2026 | GET http://localhost:8001/drafts
Thu Apr 16 22:43:25 2026 | GET http://localhost:8001/scheduled-emails
Thu Apr 16 22:43:40 2026 | GET http://localhost:8001/drafts
Thu Apr 16 22:43:40 2026 | GET http://localhost:8001/scheduled-emails
Thu Apr 16 22:43:56 2026 | GET http://localhost:8001/drafts
Thu Apr 16 22:43:56 2026 | GET http://localhost:8001/scheduled-emails
Thu Apr 16 22:44:10 2026 | GET http://localhost:8001/drafts
Thu Apr 16 22:44:10 2026 | GET http://localhost:8001/scheduled-emails
Thu Apr 16 22:44:25 2026 | GET http://localhost:8001/drafts
Thu Apr 16 22:44:25 2026 | GET http://localhost:8001/scheduled-emails
